,Tweet_id,User,Content,Like_Count,Quote_Count,Reply_Count,Url,Date
24,1.6376E+18,FirebaughNorman,Swiss banking giant UBS announces deal to buy Credit Suisse for $3.2 billion in 'emergency rescue' https://t.co/FTKKF7kd05 via @JustTheNews,0,0,1,https://twitter.com/FirebaughNorman/status/1637604321486405632,2023-03-19 23:57:50+00:00
25,1.6376E+18,Nickothenorth,Ok Twitter. Let?? tell Stew what we think of this. #Credit_Suisse #LawAndOrder #justice,0,0,1,https://twitter.com/Nickothenorth/status/1637604313232023552,2023-03-19 23:57:48+00:00
26,1.6376E+18,AngelOnLife,Shiba Inu $SHIB with market cap of 6.5B$ is worth 2x more than Credit Suisse. Let that sink in.,0,0,4,https://twitter.com/AngelOnLife/status/1637604297960554496,2023-03-19 23:57:44+00:00
27,1.6376E+18,RiskopMX,"SVB?? collapse woke up the mama bear, then Credit Suisse went and poked it. https://t.co/piv8EWc7sa via @MorningBrew",0,0,0,https://twitter.com/RiskopMX/status/1637604272861855746,2023-03-19 23:57:38+00:00
28,1.6376E+18,pcowles,"Swiss banks- UBS agrees emergency rescue of Credit Suisse...
https://t.co/VpFxtrecD2",0,0,1,https://twitter.com/pcowles/status/1637604269833560064,2023-03-19 23:57:37+00:00
29,1.6376E+18,tammieadams31,"Credit Suisse lost $5.5 billion on criminal-run hedge fund, also pleaded guilty in ??una bond scam??and was convicted in scheme involving cocaine money laundering https://t.co/iFhpU9Xbmz",0,0,0,https://twitter.com/tammieadams31/status/1637604252397846528,2023-03-19 23:57:33+00:00
30,1.6376E+18,TimFWelch,"UBS will buy Credit Suisse for $3.3b. 
Seem like a lot of money?
That's less than 8% of the price Elon Musk paid for Twitter or just under 3x the interest on the loan he took out to pay for it. https://t.co/n4elludmJy",2,0,0,https://twitter.com/TimFWelch/status/1637604239685091328,2023-03-19 23:57:30+00:00
31,1.6376E+18,NewYorkSun,"Banking giant UBS is buying troubled rival Credit Suisse for almost $3.25 billion, in a deal orchestrated by regulators in an effort to avoid further market-shaking turmoil. https://t.co/0t2P8IFMCC",6,0,1,https://twitter.com/NewYorkSun/status/1637604225600434176,2023-03-19 23:57:27+00:00
32,1.6376E+18,westaustralian,"Australia?? stock market has started the week lower, with the central bank blaming poor mismanagement for the latest global financial fears sparked by Credit Suisse. https://t.co/JUPplCk0Nz https://t.co/1oyXL0LnXa",0,0,0,https://twitter.com/westaustralian/status/1637604224958595073,2023-03-19 23:57:27+00:00
33,1.6376E+18,DevinDeCiantis,"#RT @tangent24: Credit Suisse writes down $17 billion of debt, angering holders https://t.co/60IVh1YURw",0,0,0,https://twitter.com/DevinDeCiantis/status/1637604188795334659,2023-03-19 23:57:18+00:00
34,1.6376E+18,AdamDeanWozney,"@DeFi_Dad @CreditSuisse @justinsuntron I had to sell my @Lamborghini collection, but it's worth it.",1,0,0,https://twitter.com/AdamDeanWozney/status/1637604187252080640,2023-03-19 23:57:18+00:00
35,1.6376E+18,lakefieldmoscow,"credit suisse had recently gotten involved in a 1920s-style ponzi-like scheme that just helped bring it down, and it?? also extremely corrupt, laundering money for mafias and drug traffickers, and full of speculation. and that?? just capitalism.",9,0,0,https://twitter.com/lakefieldmoscow/status/1637604186987659265,2023-03-19 23:57:18+00:00
36,1.6376E+18,DevinDeCiantis,"#RT @tangent24: Bubble Watch: Bitcoin surges past $28,000 after UBS deal to buy Credit Suisse https://t.co/j6FuZJqXyA",0,0,0,https://twitter.com/DevinDeCiantis/status/1637604186152923138,2023-03-19 23:57:17+00:00
37,1.6376E+18,Blocstreetx,The One Big Winner and Many Losers of UBS?? Credit Suisse?Rescue https://t.co/ocwzNp0RO0,0,0,0,https://twitter.com/Blocstreetx/status/1637604185385385984,2023-03-19 23:57:17+00:00
38,1.6376E+18,FXCM_Markets,"*UBS TO BUY CREDIT SUISSE FOR CHF0.76 PER SHARE, OR CHF3 BILLION

*CREDIT SUISSE HOLDERS WILL GET 1 $UBS SHARE FOR EVERY 22.48 $CS SHARES

$UBS $CS #TREASURE_HELLOinJKT",0,0,0,https://twitter.com/FXCM_Markets/status/1637604176829243392,2023-03-19 23:57:15+00:00
39,1.6376E+18,DailyReformerUS,Central banks try to calm markets after UBS deal to buy Credit?Suisse https://t.co/XdWCt9vpPC,0,0,0,https://twitter.com/DailyReformerUS/status/1637604175939788800,2023-03-19 23:57:15+00:00
40,1.6376E+18,MahanEsfahani,"Fun story: 

In my early years I used to play the odd private recital. One was for someone quite high up at Credit Suisse, who after a recital wrote me that I had to??ait for this??end back 200? because he?? ??verpaid??(200 was a lot back then!)

Should I send him a card now?",29,0,3,https://twitter.com/MahanEsfahani/status/1637604167312109568,2023-03-19 23:57:13+00:00
41,1.6376E+18,murrayhead84,@EamonMelia @WhistleIRL @CreditSuisse @SNB_BNS @ecb @JMcGuinnessTD It's the big push for electronic currencies. Covid worked well as a testbed to sway people and business from using cash.,1,0,1,https://twitter.com/murrayhead84/status/1637604158965514241,2023-03-19 23:57:11+00:00
42,1.6376E+18,Defederate,"Credit Suisse has more than a trilly AUM. It's only worth $2B to UBS.

@elonmusk purchased Twitter for how much again??? The math isn't mathing.",0,0,1,https://twitter.com/Defederate/status/1637604157707149318,2023-03-19 23:57:11+00:00
43,1.6376E+18,RollinReisinger,"@Stephanie_Link Credit Suisse had 14% T1 when serial risk management failures and fearful markets crystallized a crisis of customer and counterparty confidence.

When looking for powderkegs in the dark, don't drop the torch.",4,0,1,https://twitter.com/RollinReisinger/status/1637604140216877057,2023-03-19 23:57:06+00:00
44,1.6376E+18,gregorymelody,UBS agrees to buy troubled Credit Suisse for more than $2B to 'secure financial stability' https://t.co/kzyY6V4y0P via @nypost,0,0,0,https://twitter.com/gregorymelody/status/1637604095581102081,2023-03-19 23:56:56+00:00
45,1.6376E+18,ishikawa_btc,Go there ?? #CreditSuisse ?? https://t.co/VkW8lrpwC0,0,0,0,https://twitter.com/ishikawa_btc/status/1637604088438300673,2023-03-19 23:56:54+00:00
46,1.6376E+18,BJengela,"Central banks try to calm markets after UBS deal to buy Credit Suisse
 https://t.co/gDlfXvFB6N",0,0,0,https://twitter.com/BJengela/status/1637604085766520832,2023-03-19 23:56:53+00:00
47,1.6376E+18,abdulcryptos7,"Credit Suisse writes down $17 billion of bonds to zero, angering holders &gt;&gt; Hong Kong Pfizer Bitcoin &gt;&gt; https://t.co/RlYPIh7Vet https://t.co/eGb3v0Amom",1,0,0,https://twitter.com/abdulcryptos7/status/1637604076790640640,2023-03-19 23:56:51+00:00
48,1.6376E+18,Room2008ent2,"Close out the weekend with our new episode 

#podcast #ufotwitter #SiliconValleyBank #bankcollapse #stockmarketcrash #marchmadness?#ConspiracyTheory #bracketbuster #trump #creditsuisse #inflation #paranormal #Sunday #Emergency #UBS #kstate #kentucky
https://t.co/Jzk7eiv2d3",1,0,0,https://twitter.com/Room2008ent2/status/1637604071052832768,2023-03-19 23:56:50+00:00
49,1.6376E+18,SealToursTravel,UBS agrees to buy Credit Suisse in shotgun?merger https://t.co/HEgsKUwyBr,0,0,0,https://twitter.com/SealToursTravel/status/1637604024529682439,2023-03-19 23:56:39+00:00
50,1.6376E+18,CarolKa03555234,"HT: BossBlunts

UBS buys Credit Suisse...

Here's the kicker

17 BILLION DOLLHAIRS of Credit Suisse bonds are NOW WORTH exactly ZERO Shamoleans. Nada... zipedeedoodah... 

That is bad damn news for anyone (RE: hedhefucks) holding those bonds and/or using them as collateral... https://t.co/DP0kjtKOwU",0,0,0,https://twitter.com/CarolKa03555234/status/1637604023263023104,2023-03-19 23:56:39+00:00
51,1.6376E+18,amnon96,UBS agrees to buy Credit Suisse in shotgun?merger https://t.co/cNwrHUbqZU,0,0,0,https://twitter.com/amnon96/status/1637604017487446028,2023-03-19 23:56:37+00:00
52,1.6376E+18,lhgraeff,"??n 2022, UBS made $7.6bn of profit while Credit Suisse slumped to a $7.9bn loss, effectively wiping out the entire previous decade?? earnings.??https://t.co/2Gh78Ug2V9",0,0,0,https://twitter.com/lhgraeff/status/1637603954161844226,2023-03-19 23:56:22+00:00
53,1.6376E+18,cupiditasx,@CreditSuisse But 3 days ago the idea of panic over CS was unwarranted??,2,0,0,https://twitter.com/cupiditasx/status/1637603946217758720,2023-03-19 23:56:20+00:00
54,1.6376E+18,tangent24,"Credit Suisse writes down $17 billion of debt, angering holders https://t.co/sKoGAfVK31",0,0,0,https://twitter.com/tangent24/status/1637603938508701699,2023-03-19 23:56:18+00:00
55,1.6376E+18,RKhodadadian,"Robert Khodadadian In The News UBS to purchase Credit Suisse amid fallout from U.S. bank collapses on March 19, 2023 at 11:18?pm https://t.co/ccsvXms5sa",0,0,1,https://twitter.com/RKhodadadian/status/1637603906976092162,2023-03-19 23:56:11+00:00
56,1.6376E+18,HobsonDhobson22,"@Peston @NeilKBrand The man (F****** charlatan) who ran the operation had an early mobile phone (like a house brick) his phone rang, he ducked into an alchove to answer it as the Manchester rain thrashed down, he suddenly emerged...great news Credit Suisse have saved us!...as it happens they didn't.",5,0,0,https://twitter.com/HobsonDhobson22/status/1637603897496797186,2023-03-19 23:56:09+00:00
57,1.6376E+18,AlasdairPal,"Central banks try to calm markets after UBS deal to buy Credit Suisse
 https://t.co/uITQc8fUPo",0,0,1,https://twitter.com/AlasdairPal/status/1637603888357580800,2023-03-19 23:56:06+00:00
58,1.6376E+18,MedicalQuack,RT @SullyCNBC: And in the end Credit Suisse goes out at a paltry $0.82 cents per $CS share.  Was a $70 dollar stock 15 years ago. https://t.co/egK26O1zvR,2,0,0,https://twitter.com/MedicalQuack/status/1637603862977863680,2023-03-19 23:56:00+00:00
59,1.6376E+18,venkatesh_Ragu,"UBS has agreed to buy Credit Suisse for more than $2 billion;

Credit Suisse was a $7 billion firm on Friday;",2,0,0,https://twitter.com/venkatesh_Ragu/status/1637603860096389121,2023-03-19 23:56:00+00:00
60,1.6376E+18,NotNotSuitman,And then they bought the top on all the coins because *checks notes* Credit Suisse got raped and UBS was forced to take over,0,0,0,https://twitter.com/NotNotSuitman/status/1637603838680080391,2023-03-19 23:55:55+00:00
61,1.6376E+18,louie_tran,"#NEW: (NBC) - ??ith the takeover of Credit Suisse by UBS, a solution has been found to secure financial stability and protect the Swiss economy in this exceptional situation."" https://t.co/serZLigegE",2,0,1,https://twitter.com/louie_tran/status/1637603832665341954,2023-03-19 23:55:53+00:00
